mal_id,title,score,episodes,members,fecha_extraccion
52991,Sousou no Frieren,9.28,28,1347641,2026-02-27 01:01:17.967221
59978,Sousou no Frieren 2nd Season,9.18,10,404868,2026-02-27 01:01:17.967231
5114,Fullmetal Alchemist: Brotherhood,9.11,64,3642332,2026-02-27 01:01:17.967232
57555,Chainsaw Man Movie: Reze-hen,9.1,1,408906,2026-02-27 01:01:17.967233
9253,Steins;Gate,9.07,24,2784084,2026-02-27 01:01:17.967234
38524,Shingeki no Kyojin Season 3 Part 2,9.05,10,2557032,2026-02-27 01:01:17.967235
28977,Gintama°,9.05,51,685860,2026-02-27 01:01:17.967235
39486,Gintama: The Final,9.05,1,180535,2026-02-27 01:01:17.967236
11061,Hunter x Hunter (2011),9.03,148,3148248,2026-02-27 01:01:17.967237
60022,One Piece Fan Letter,9.02,1,145682,2026-02-27 01:01:17.967247
9969,Gintama',9.02,51,607853,2026-02-27 01:01:17.967248
15417,Gintama': Enchousen,9.02,13,355253,2026-02-27 01:01:17.967249
820,Ginga Eiyuu Densetsu,9.02,110,358490,2026-02-27 01:01:17.967250
34096,Gintama.,8.98,12,345581,2026-02-27 01:01:17.967251
41467,Bleach: Sennen Kessen-hen,8.98,13,688609,2026-02-27 01:01:17.967251
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,13,1092734,2026-02-27 01:01:17.967252
42938,Fruits Basket: The Final,8.94,13,555607,2026-02-27 01:01:17.967252
4181,Clannad: After Story,8.93,24,1276040,2026-02-27 01:01:17.967254
918,Gintama,8.93,201,1145381,2026-02-27 01:01:17.967255
28851,Koe no Katachi,8.93,1,2582199,2026-02-27 01:01:17.967255
58514,Kusuriya no Hitorigoto 2nd Season,8.91,24,470428,2026-02-27 01:01:17.967256
2904,Code Geass: Hangyaku no Lelouch R2,8.91,25,1934983,2026-02-27 01:01:17.967257
35180,3-gatsu no Lion 2nd Season,8.9,22,435213,2026-02-27 01:01:17.967257
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,1,260727,2026-02-27 01:01:17.967258
19,Monster,8.89,74,1305850,2026-02-27 01:01:17.967259
